LOAD_AREA,Total_VMT,HD_VMT,LD_VMT
AZ_NM_N,12977.218000429846,103.78330791676277,12873.434692513083
CO_DEN,27197711758.086605,1392315141.3629994,25805396616.723606
CO_E,9825373527.672604,915941034.6996922,8909432492.972912
CO_NW,5913467154.740134,442873366.8647294,5470593787.875404
CO_SW,3718282098.619106,222628450.10974273,3495653648.509363
NM_N,23541.052821741217,1149.92131199835,22391.131509742867
UT_N,10110.659976822317,534.2753245873162,9576.384652235001
UT_S,41293218.740814805,3450898.520082462,37842320.220732346
WY_SE,898143.7656678435,41981.307768802886,856162.4578990407
WY_SW,13442.657101380468,70.28562785445914,13372.37147352601
